IBOV - Carteira do Dia 13/04/23
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.484.913.747;5,387;16,353;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.441.248;6,283;16,353;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,627;16,353;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,862;16,353;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.442.976;0,866;16,353;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;400.842.480;0,807;2,472;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON  EJ  NM;1.196.069.386;1,665;2,472;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;351.919.239;0,276;2,420;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.455.957.762;0,636;2,420;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.226.847;0,058;2,420;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.149.694.340;1,450;2,420;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;419.466.860;0,120;0,939;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;657.970.941;0,032;0,939;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;520.749.110;0,787;0,939;
Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,909;1,475;
Telecomunicação;TIMS3;TIM;ON  ED  NM;808.436.195;0,566;1,475;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.002.999;0,930;0,930;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.442.098.974;0,957;10,434;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,635;10,434;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,335;10,434;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.871.213.500;3,500;10,434;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;275.526.814;0,568;10,434;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON  ED  NM;246.028.184;0,287;10,434;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,573;10,434;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.576.898.490;0,956;10,434;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,548;10,434;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,671;10,434;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,404;10,434;
Quantidade Teórica Total;;;;97.388.504.910;100,000;100,000
Redutor;;;;17.576.269,56888495
